Humidity,Temperature,Time
66,21,15/09/2019 11:03:48
66,21,15/09/2019 11:03:58
65,21,15/09/2019 11:04:08
65,21,15/09/2019 11:04:19
65,21,15/09/2019 11:04:29
65,21,15/09/2019 11:04:39
65,21,15/09/2019 11:04:50
65,21,15/09/2019 11:05:00
65,21,15/09/2019 11:05:10
65,21,15/09/2019 11:05:21
65,21,15/09/2019 11:05:31
65,21,15/09/2019 11:05:42
65,21,15/09/2019 11:05:53
65,21,15/09/2019 11:06:04
65,21,15/09/2019 11:06:14
65,21,15/09/2019 11:06:25
65,21,15/09/2019 11:06:35
65,21,15/09/2019 11:06:45
65,21,15/09/2019 11:06:55
65,21,15/09/2019 11:07:06
65,21,15/09/2019 11:07:16
65,21,15/09/2019 11:07:27
65,21,15/09/2019 11:07:37
65,21,15/09/2019 11:07:47
65,21,15/09/2019 11:07:57
65,21,15/09/2019 11:08:07
65,21,15/09/2019 11:08:19
65,21,15/09/2019 11:08:29
65,21,15/09/2019 11:08:40
65,21,15/09/2019 11:08:50
65,21,15/09/2019 11:09:00
65,21,15/09/2019 11:09:11
65,21,15/09/2019 11:09:21
65,21,15/09/2019 11:09:33
65,21,15/09/2019 11:09:43
65,21,15/09/2019 11:09:54
65,21,15/09/2019 11:10:04
65,21,15/09/2019 11:10:14
65,21,15/09/2019 11:10:24
65,21,15/09/2019 11:10:34
65,21,15/09/2019 11:10:45
65,21,15/09/2019 11:10:55
65,21,15/09/2019 11:11:05
65,21,15/09/2019 11:11:15
65,21,15/09/2019 11:11:25
65,21,15/09/2019 11:11:35
65,21,15/09/2019 11:11:46
65,21,15/09/2019 11:11:56
65,21,15/09/2019 11:12:08
65,21,15/09/2019 11:12:18
65,21,15/09/2019 11:12:28
65,21,15/09/2019 11:12:39
65,21,15/09/2019 11:12:49
65,21,15/09/2019 11:12:59
65,21,15/09/2019 11:13:09
65,21,15/09/2019 11:13:19
65,21,15/09/2019 11:13:31
65,21,15/09/2019 11:13:41
65,21,15/09/2019 11:13:52
65,21,15/09/2019 11:14:02
65,21,15/09/2019 11:14:12
65,21,15/09/2019 11:14:24
65,21,15/09/2019 11:14:34
65,21,15/09/2019 11:14:45
65,21,15/09/2019 11:14:56
65,21,15/09/2019 11:15:06
65,21,15/09/2019 11:15:18
65,21,15/09/2019 11:15:28
65,21,15/09/2019 11:15:38
65,21,15/09/2019 11:15:48
65,21,15/09/2019 11:15:58
65,21,15/09/2019 11:16:09
65,21,15/09/2019 11:16:19
65,21,15/09/2019 11:16:29
65,21,15/09/2019 11:16:40
65,21,15/09/2019 11:16:50
65,21,15/09/2019 11:17:00
65,21,15/09/2019 11:17:11
65,21,15/09/2019 11:17:22
65,21,15/09/2019 11:17:32
65,21,15/09/2019 11:17:44
65,21,15/09/2019 11:17:54
65,21,15/09/2019 11:18:04
65,21,15/09/2019 11:18:14
65,21,15/09/2019 11:18:24
65,21,15/09/2019 11:18:34
65,21,15/09/2019 11:18:44
65,21,15/09/2019 11:18:54
65,21,15/09/2019 11:19:04
65,21,15/09/2019 11:19:14
65,21,15/09/2019 11:19:26
65,21,15/09/2019 11:19:36
65,21,15/09/2019 11:19:47
65,21,15/09/2019 11:19:57
65,21,15/09/2019 11:20:08
65,21,15/09/2019 11:20:19
65,21,15/09/2019 11:20:30
65,21,15/09/2019 11:20:40
65,21,15/09/2019 11:20:51
65,21,15/09/2019 11:21:01
65,21,15/09/2019 11:21:11
65,21,15/09/2019 11:21:22
65,21,15/09/2019 11:21:32
65,21,15/09/2019 11:21:43
65,21,15/09/2019 11:21:53
65,21,15/09/2019 11:22:04
65,21,15/09/2019 11:22:14
65,21,15/09/2019 11:22:26
65,21,15/09/2019 11:22:36
65,21,15/09/2019 11:22:46
65,21,15/09/2019 11:22:56
65,21,15/09/2019 11:23:06
65,21,15/09/2019 11:23:17
65,21,15/09/2019 11:23:27
64,21,15/09/2019 11:23:39
64,21,15/09/2019 11:23:49
64,21,15/09/2019 11:24:00
64,21,15/09/2019 11:24:10
64,21,15/09/2019 11:24:21
64,21,15/09/2019 11:24:32
64,21,15/09/2019 11:24:43
64,21,15/09/2019 11:24:53
64,21,15/09/2019 11:25:03
64,21,15/09/2019 11:25:13
64,21,15/09/2019 11:25:23
65,21,15/09/2019 11:25:34
65,21,15/09/2019 11:25:45
65,21,15/09/2019 11:25:56
64,21,15/09/2019 11:26:06
64,21,15/09/2019 11:26:17
64,21,15/09/2019 11:26:27
64,21,15/09/2019 11:26:39
64,21,15/09/2019 11:26:49
64,21,15/09/2019 11:27:00
64,21,15/09/2019 11:27:10
64,21,15/09/2019 11:27:20
64,21,15/09/2019 11:27:30
64,21,15/09/2019 11:27:40
64,21,15/09/2019 11:27:50
64,21,15/09/2019 11:28:00
64,21,15/09/2019 11:28:11
64,21,15/09/2019 11:28:21
64,21,15/09/2019 11:28:32
64,21,15/09/2019 11:28:42
64,21,15/09/2019 11:28:52
64,21,15/09/2019 11:29:03
64,21,15/09/2019 11:29:15
64,21,15/09/2019 11:29:25
64,21,15/09/2019 11:29:36
64,21,15/09/2019 11:29:46
64,21,15/09/2019 11:29:57
64,21,15/09/2019 11:30:08
64,21,15/09/2019 11:30:19
64,21,15/09/2019 11:30:29
64,21,15/09/2019 11:30:39
64,21,15/09/2019 11:30:49
64,21,15/09/2019 11:30:59
64,21,15/09/2019 11:31:09
64,21,15/09/2019 11:31:19
64,21,15/09/2019 11:31:29
64,21,15/09/2019 11:31:40
64,21,15/09/2019 11:31:51
64,21,15/09/2019 11:32:02
64,21,15/09/2019 11:32:12
64,21,15/09/2019 11:32:24
64,21,15/09/2019 11:32:34
64,21,15/09/2019 11:32:45
64,21,15/09/2019 11:32:55
64,21,15/09/2019 11:33:06
64,21,15/09/2019 11:33:16
64,21,15/09/2019 11:33:28
64,21,15/09/2019 11:33:38
64,21,15/09/2019 11:33:49
64,21,15/09/2019 11:33:59
64,21,15/09/2019 11:34:09
64,21,15/09/2019 11:34:19
64,21,15/09/2019 11:34:29
64,21,15/09/2019 11:34:41
64,21,15/09/2019 11:34:51
64,21,15/09/2019 11:35:01
64,21,15/09/2019 11:35:12
64,21,15/09/2019 11:35:22
64,21,15/09/2019 11:35:34
64,21,15/09/2019 11:35:45
64,21,15/09/2019 11:35:55
64,21,15/09/2019 11:36:06
64,21,15/09/2019 11:36:16
64,21,15/09/2019 11:36:28
64,21,15/09/2019 11:36:38
64,21,15/09/2019 11:36:49
64,21,15/09/2019 11:36:59
64,21,15/09/2019 11:37:09
64,21,15/09/2019 11:37:19
64,21,15/09/2019 11:37:29
64,21,15/09/2019 11:37:39
64,21,15/09/2019 11:37:49
64,21,15/09/2019 11:38:00
64,21,15/09/2019 11:38:10
64,21,15/09/2019 11:38:21
64,21,15/09/2019 11:38:32
64,21,15/09/2019 11:38:42
64,21,15/09/2019 11:38:54
64,21,15/09/2019 11:39:04
64,21,15/09/2019 11:39:15
64,21,15/09/2019 11:39:25
64,21,15/09/2019 11:39:35
64,21,15/09/2019 11:39:45
64,21,15/09/2019 11:39:57
64,21,15/09/2019 11:40:07
64,21,15/09/2019 11:40:18
64,21,15/09/2019 11:40:28
63,21,15/09/2019 11:40:39
63,21,15/09/2019 11:40:49
64,21,15/09/2019 11:40:59
64,21,15/09/2019 11:41:10
64,21,15/09/2019 11:41:20
64,21,15/09/2019 11:41:30
64,21,15/09/2019 11:41:40
64,21,15/09/2019 11:41:50
63,21,15/09/2019 11:42:00
63,21,15/09/2019 11:42:11
63,21,15/09/2019 11:42:21
63,21,15/09/2019 11:42:31
64,21,15/09/2019 11:42:43
63,21,15/09/2019 11:42:53
63,21,15/09/2019 11:43:03
63,21,15/09/2019 11:43:14
63,21,15/09/2019 11:43:24
63,21,15/09/2019 11:43:36
63,21,15/09/2019 11:43:46
63,21,15/09/2019 11:43:57
63,21,15/09/2019 11:44:07
63,21,15/09/2019 11:44:17
63,21,15/09/2019 11:44:28
63,21,15/09/2019 11:44:39
63,21,15/09/2019 11:44:50
63,21,15/09/2019 11:45:00
63,21,15/09/2019 11:45:10
63,21,15/09/2019 11:45:21
63,21,15/09/2019 11:45:31
63,21,15/09/2019 11:45:41
63,21,15/09/2019 11:45:53
63,21,15/09/2019 11:46:03
63,21,15/09/2019 11:46:13
64,21,15/09/2019 11:46:23
63,21,15/09/2019 11:46:33
63,21,15/09/2019 11:46:43
63,21,15/09/2019 11:46:53
63,21,15/09/2019 11:47:03
63,21,15/09/2019 11:47:13
63,21,15/09/2019 11:47:24
63,21,15/09/2019 11:47:35
63,21,15/09/2019 11:47:45
63,21,15/09/2019 11:47:55
63,21,15/09/2019 11:48:06
63,21,15/09/2019 11:48:16
63,21,15/09/2019 11:48:29
63,21,15/09/2019 11:48:39
63,21,15/09/2019 11:48:49
63,21,15/09/2019 11:48:59
63,21,15/09/2019 11:49:09
63,21,15/09/2019 11:49:19
63,21,15/09/2019 11:49:29
63,21,15/09/2019 11:49:40
63,21,15/09/2019 11:49:50
63,21,15/09/2019 11:50:01
63,21,15/09/2019 11:50:11
63,21,15/09/2019 11:50:23
63,21,15/09/2019 11:50:35
63,21,15/09/2019 11:50:45
63,21,15/09/2019 11:50:55
63,21,15/09/2019 11:51:06
63,21,15/09/2019 11:51:16
63,21,15/09/2019 11:51:28
63,21,15/09/2019 11:51:38
63,21,15/09/2019 11:51:48
63,21,15/09/2019 11:51:58
63,21,15/09/2019 11:52:08
63,21,15/09/2019 11:52:18
63,21,15/09/2019 11:52:28
63,21,15/09/2019 11:52:38
63,21,15/09/2019 11:52:48
63,21,15/09/2019 11:52:58
64,21,15/09/2019 11:53:08
64,21,15/09/2019 11:53:20
64,21,15/09/2019 11:53:30
64,21,15/09/2019 11:53:40
64,21,15/09/2019 11:53:50
64,21,15/09/2019 11:54:00
64,21,15/09/2019 11:54:10
64,21,15/09/2019 11:54:22
64,21,15/09/2019 11:54:32
64,21,15/09/2019 11:54:42
64,21,15/09/2019 11:54:52
64,21,15/09/2019 11:55:02
64,21,15/09/2019 11:55:13
64,21,15/09/2019 11:55:23
64,21,15/09/2019 11:55:35
63,21,15/09/2019 11:55:45
64,21,15/09/2019 11:55:56
64,21,15/09/2019 11:56:06
64,21,15/09/2019 11:56:16
64,21,15/09/2019 11:56:27
64,21,15/09/2019 11:56:37
64,21,15/09/2019 11:56:49
63,21,15/09/2019 11:56:59
64,21,15/09/2019 11:57:10
64,21,15/09/2019 11:57:20
64,21,15/09/2019 11:57:32
64,21,15/09/2019 11:57:42
64,21,15/09/2019 11:57:53
64,21,15/09/2019 11:58:04
64,21,15/09/2019 11:58:14
64,21,15/09/2019 11:58:26
63,21,15/09/2019 11:58:36
63,21,15/09/2019 11:58:47
63,21,15/09/2019 11:58:57
63,21,15/09/2019 11:59:07
64,21,15/09/2019 11:59:18
63,21,15/09/2019 11:59:28
63,21,15/09/2019 11:59:40
64,21,15/09/2019 11:59:50
64,21,15/09/2019 12:00:01
64,21,15/09/2019 12:00:11
64,21,15/09/2019 12:00:21
63,21,15/09/2019 12:00:31
64,21,15/09/2019 12:00:42
64,21,15/09/2019 12:00:53
64,21,15/09/2019 12:01:03
64,21,15/09/2019 12:01:14
63,21,15/09/2019 12:01:24
64,21,15/09/2019 12:01:36
64,21,15/09/2019 12:01:46
64,21,15/09/2019 12:01:57
64,21,15/09/2019 12:02:07
64,21,15/09/2019 12:02:18
64,21,15/09/2019 12:02:28
64,21,15/09/2019 12:02:40
63,21,15/09/2019 12:02:50
64,21,15/09/2019 12:03:01
63,21,15/09/2019 12:03:11
64,21,15/09/2019 12:03:22
64,21,15/09/2019 12:03:32
64,21,15/09/2019 12:03:44
63,21,15/09/2019 12:03:54
64,21,15/09/2019 12:04:04
64,21,15/09/2019 12:04:14
64,21,15/09/2019 12:04:25
64,21,15/09/2019 12:04:35
64,21,15/09/2019 12:04:47
64,21,15/09/2019 12:04:57
64,21,15/09/2019 12:05:07
64,21,15/09/2019 12:05:17
64,21,15/09/2019 12:05:27
64,21,15/09/2019 12:05:37
64,21,15/09/2019 12:05:47
64,21,15/09/2019 12:05:57
63,21,15/09/2019 12:06:09
63,21,15/09/2019 12:06:19
63,21,15/09/2019 12:06:30
